# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:53:18
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
7.00366307	-85.58995261
7.01098907	-89.49373107
7.01831508	-95.13399580
7.02564109	-83.80037274
7.03296710	-81.02981194
7.04029310	-84.13780294
7.04761911	-84.83640372
7.05494512	-87.97994079
7.06227113	-95.78248668
7.06959713	-86.12626203
7.07692314	-88.72101901
7.08424915	-84.78201618
7.09157516	-85.96901260
7.09890116	-94.67826895
7.10622717	-83.10371097
7.11355318	-83.25791362
7.12087919	-96.32544839
7.12820519	-85.62492152
7.13553120	-83.38479477
7.14285721	-95.07379070
7.15018322	-86.90035753
7.15750922	-89.52347271
7.16483523	-83.61304727
7.17216124	-87.72054884
7.17948724	-91.38218715
7.18681325	-84.30124846
7.19413926	-80.57684566
7.20146527	-90.09721303
7.20879127	-80.81790185
7.21611728	-89.68970593
7.22344329	-77.62919860
7.23076930	-80.51591251
7.23809530	-90.84327038
7.24542131	-79.27283369
7.25274732	-86.58032643
7.26007333	-83.41613602
7.26739933	-81.59049961
7.27472534	-93.34909253
7.28205135	-85.67402557
7.28937736	-91.55983146
7.29670336	-91.70987263
7.30402937	-83.67934391
7.31135538	-85.28449330
7.31868139	-84.14459267
7.32600739	-87.43051423
7.33333340	-84.28376349
7.34065941	-95.66183734
7.34798541	-87.07491357
7.35531142	-87.60017657
7.36263743	-85.74495894
7.36996344	-86.58641357
7.37728944	-86.83638341
7.38461545	-91.70500202
7.39194146	-99.40528970
7.39926747	-92.85754358
7.40659347	-86.55353988
7.41391948	-85.54156174
7.42124549	-89.87773197
7.42857150	-87.96523956
