# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:38:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Frequency [THz]	THz Signal [a.u.]
6.52014649	-97.21547084
6.52747250	-91.61891820
6.53479851	-97.02545826
6.54212452	-92.37013133
6.54945052	-83.05051622
6.55677653	-83.50443282
6.56410254	-88.71177882
6.57142855	-90.81360074
6.57875455	-79.26967852
6.58608056	-83.68163639
6.59340657	-87.76745804
6.60073257	-83.89176714
6.60805858	-89.06677009
6.61538459	-91.17493932
6.62271060	-94.79134267
6.63003660	-82.59175788
6.63736261	-82.65762960
6.64468862	-81.14278162
6.65201463	-92.52721487
6.65934063	-85.08550760
6.66666664	-100.06975271
6.67399265	-80.00098138
6.68131866	-82.24646161
6.68864466	-80.36208252
6.69597067	-83.61622470
6.70329668	-83.06669970
6.71062268	-90.69225926
6.71794869	-85.51124279
6.72527470	-96.75469950
6.73260071	-98.90964698
6.73992671	-89.32615647
6.74725272	-86.67066525
6.75457873	-83.28344979
6.76190474	-83.63900737
6.76923074	-80.81044081
6.77655675	-88.65071017
6.78388276	-83.23406378
6.79120876	-81.62147855
6.79853477	-85.95052847
6.80586078	-92.04822511
6.81318679	-88.86028163
6.82051279	-83.49367712
6.82783880	-81.30334861
6.83516481	-85.81588274
6.84249082	-83.36885860
6.84981682	-84.40111389
6.85714283	-106.27475473
6.86446884	-93.17556897
6.87179484	-92.26008462
6.87912085	-90.07113070
6.88644686	-83.04653177
6.89377287	-87.02682357
6.90109887	-82.22546723
6.90842488	-83.91842959
6.91575089	-81.20584194
6.92307690	-87.77938067
6.93040290	-95.90308229
6.93772891	-86.03762844
6.94505492	-86.55734726
6.95238093	-94.50369450
6.95970693	-84.58600471
6.96703294	-86.45836787
6.97435895	-85.59138848
6.98168495	-84.02095657
6.98901096	-110.02849030
6.99633697	-85.07329137
7.00366298	-93.58694129
7.01098898	-85.29058836
7.01831499	-89.74780708
7.02564100	-88.70174650
7.03296701	-86.12750483
7.04029301	-88.27773817
7.04761902	-88.67665030
7.05494503	-89.64084762
7.06227103	-93.71123043
7.06959704	-87.68768014
7.07692305	-87.78938698
7.08424906	-82.32998301
7.09157506	-82.17025235
7.09890107	-92.79480277
7.10622708	-86.97559255
7.11355309	-82.68056900
7.12087909	-101.85992307
7.12820510	-87.45644929
7.13553111	-84.61500122
7.14285711	-85.17938334
7.15018312	-89.48076990
7.15750913	-85.74780304
7.16483514	-88.78847908
7.17216114	-100.60756850
7.17948715	-87.64394614
7.18681316	-88.51722233
7.19413917	-83.39618338
7.20146517	-86.20470432
7.20879118	-79.59707220
7.21611719	-87.84040422
7.22344320	-82.75285005
7.23076920	-85.60843022
7.23809521	-123.69967106
7.24542122	-88.53046433
7.25274722	-87.18689290
7.26007323	-92.17086085
7.26739924	-90.22410731
7.27472525	-88.21888212
7.28205125	-86.73020778
7.28937726	-82.30200124
7.29670327	-87.95365912
7.30402928	-85.21490475
7.31135528	-97.80481926
7.31868129	-89.26080338
7.32600730	-80.70197399
7.33333330	-93.57073894
7.34065931	-91.25150715
7.34798532	-83.36035202
7.35531133	-85.43035977
7.36263733	-85.71661698
7.36996334	-90.12696976
7.37728935	-89.61917199
7.38461536	-90.78269689
7.39194136	-85.73446120
7.39926737	-91.97234704
7.40659338	-98.73050102
7.41391938	-111.06251580
7.42124539	-86.72317416
7.42857140	-83.38222130
