# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -229.30000000 ps, Average over 300 waveforms. Timestamp: 2023-05-26T11:49:01
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-201.03333359	-0.05398911
-201.00000026	-0.05633399
-200.96666693	-0.05698139
-200.93333359	-0.05620050
-200.90000026	-0.05394229
-200.86666693	-0.05014826
-200.83333359	-0.04506701
-200.80000026	-0.03896426
-200.76666693	-0.03196138
-200.73333359	-0.02506174
-200.70000026	-0.01788440
-200.66666693	-0.01123774
-200.63333360	-0.00511566
-200.60000026	-0.00018390
-200.56666693	0.00388022
-200.53333360	0.00715135
-200.50000026	0.01018608
-200.46666693	0.01344260
-200.43333360	0.01696958
-200.40000026	0.02071659
-200.36666693	0.02498919
-200.33333360	0.02881910
-200.30000027	0.03200230
-200.26666693	0.03365478
-200.23333360	0.03383811
-200.20000027	0.03248751
-200.16666693	0.03020089
-200.13333360	0.02698846
-200.10000027	0.02273640
-200.06666693	0.01751346
-200.03333360	0.01166681
-200.00000027	0.00501813
-199.96666694	-0.00169513
-199.93333360	-0.00826909
-199.90000027	-0.01420331
-199.86666694	-0.01963965
-199.83333360	-0.02419934
-199.80000027	-0.02803481
-199.76666694	-0.03126543
-199.73333360	-0.03389777
-199.70000027	-0.03615576
-199.66666694	-0.03776545
-199.63333360	-0.03919326
-199.60000027	-0.04010470
-199.56666694	-0.04060434
-199.53333361	-0.04091044
-199.50000027	-0.04049330
-199.46666694	-0.03903176
-199.43333361	-0.03642489
-199.40000027	-0.03225824
-199.36666694	-0.02725075
-199.33333361	-0.02148963
-199.30000027	-0.01522209
-199.26666694	-0.00921618
-199.23333361	-0.00334226
-199.20000028	0.00180844
-199.16666694	0.00639651
-199.13333361	0.00993099
-199.10000028	0.01233772
-199.06666694	0.01373351
-199.03333361	0.01360747
-199.00000028	0.01247112
-198.96666694	0.01064695
-198.93333361	0.00854652
-198.90000028	0.00672108
-198.86666695	0.00588906
-198.83333361	0.00561318
-198.80000028	0.00620313
-198.76666695	0.00662124
-198.73333361	0.00732893
-198.70000028	0.00803453
-198.66666695	0.00916771
-198.63333361	0.01056993
-198.60000028	0.01282691
-198.56666695	0.01538871
-198.53333361	0.01803954
-198.50000028	0.02035466
-198.46666695	0.02157134
-198.43333362	0.02144682
-198.40000028	0.02012347
-198.36666695	0.01720314
-198.33333362	0.01320264
-198.30000028	0.00795879
-198.26666695	0.00180778
-198.23333362	-0.00528131
-198.20000028	-0.01297251
-198.16666695	-0.02084172
-198.13333362	-0.02866894
-198.10000029	-0.03555840
-198.06666695	-0.04179528
-198.03333362	-0.04628819
-198.00000029	-0.04927685
-197.96666695	-0.05036270
-197.93333362	-0.04984578
-197.90000029	-0.04740587
-197.86666695	-0.04341066
-197.83333362	-0.03805617
-197.80000029	-0.03211071
-197.76666696	-0.02557689
-197.73333362	-0.01921109
-197.70000029	-0.01322285
-197.66666696	-0.00819774
-197.63333362	-0.00410118
-197.60000029	-0.00051734
-197.56666696	0.00221532
-197.53333362	0.00473005
-197.50000029	0.00703647
-197.46666696	0.00889179
-197.43333363	0.01087307
-197.40000029	0.01253942
-197.36666696	0.01443343
-197.33333363	0.01645128
-197.30000029	0.01799759
-197.26666696	0.01926735
-197.23333363	0.01983019
-197.20000029	0.01956854
-197.16666696	0.01796395
-197.13333363	0.01570525
-197.10000029	0.01269102
-197.06666696	0.00878355
-197.03333363	0.00487310
-197.00000030	0.00088545
-196.96666696	-0.00252781
-196.93333363	-0.00580655
